unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.58E+12,20-02-2020 00:00,BTC/USDT,9593.31,9700,9382.59,9601.99,143105.6,1.37E+09,340441
1.58E+12,21-02-2020 00:00,BTC/USDT,9601.51,9759.59,9547,9681.39,98954.29,9.58E+08,222939
1.58E+12,22-02-2020 00:00,BTC/USDT,9681.39,9710.7,9565,9659.2,58419.55,5.64E+08,137989
1.58E+12,23-02-2020 00:00,BTC/USDT,9658.95,10018.9,9657,9943.12,97134.36,9.60E+08,229104
1.58E+12,24-02-2020 00:00,BTC/USDT,9943.12,10000,9487.38,9662.95,157965.7,1.54E+09,357670
1.58E+12,25-02-2020 00:00,BTC/USDT,9662.88,9686.78,9247,9326,168641.7,1.60E+09,370353
1.58E+12,26-02-2020 00:00,BTC/USDT,9326,9384,8610,8792.22,267005.2,2.41E+09,594555
1.58E+12,27-02-2020 00:00,BTC/USDT,8793.96,8978,8533.9,8828,200638.5,1.76E+09,447761
1.58E+12,28-02-2020 00:00,BTC/USDT,8827.12,8908.86,8450,8699.57,196066.1,1.70E+09,479621
1.58E+12,29-02-2020 00:00,BTC/USDT,8699.86,8799.83,8530,8531.98,103524.7,8.98E+08,217411
1.58E+12,01-03-2020 0:00,BTC/USDT,8532.5,8762.24,8409,8537.84,174332.9,1.49E+09,346326
1.58E+12,02-03-2020 0:00,BTC/USDT,8537.84,8972,8504.95,8919.7,160294.5,1.41E+09,330286
1.58E+12,03-03-2020 0:00,BTC/USDT,8919.7,8922.34,8657.41,8765,160123.6,1.41E+09,331015
1.58E+12,04-03-2020 0:00,BTC/USDT,8765,8853.88,8669.23,8756.93,105462.1,9.24E+08,219177
1.58E+12,05-03-2020 0:00,BTC/USDT,8755.98,9172.3,8755.98,9062.81,161840.6,1.46E+09,305604
1.58E+12,06-03-2020 0:00,BTC/USDT,9062.62,9179.75,8994.14,9139.48,115011.6,1.05E+09,226911
1.58E+12,07-03-2020 0:00,BTC/USDT,9139.77,9204,8850,8897.18,125805,1.14E+09,240352
