unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,pct_chagnge
1.63642E+12,44509,BTC/USDT,67606.96,68675.16,66300,67009.98,231843.83,15654216548,0.03
1.63633E+12,44508,BTC/USDT,63316.4,67932.89,63308.7,67606.96,274932.15,18088392667,0.01
1.63624E+12,44507,BTC/USDT,61511.3,63377.58,61368.26,63316.4,142878.21,8884101796,-0.06
1.63616E+12,44506,BTC/USDT,61006,61645.75,60100,61511.3,154919.12,9432009427,-0.03
1.63607E+12,44505,BTC/USDT,61433.9,62671.48,60762,61006,157569.64,9697454173,-0.01
1.63598E+12,44504,BTC/USDT,62946.45,63149,60703,61431.86,184677.08,11399249536,0.01
1.6359E+12,44503,BTC/USDT,63266.69,63613,60300,62946.45,211190.18,13219637045,0.02
1.63581E+12,44502,BTC/USDT,60942.87,64349.55,60659.58,63266.69,217592.06,13660618220,0.01
1.63572E+12,44501,BTC/USDT,61347.14,62543.58,59400,60942.87,246158.36,15074399515,-0.04
1.63564E+12,44500,BTC/USDT,61895.19,62462.99,60008,61348.61,183599.52,11207623544,0.01
1.63555E+12,44499,BTC/USDT,62308.21,62415.85,60631.23,61895.19,156041.52,9612679323,0.01
1.63547E+12,44498,BTC/USDT,60622.02,63069.71,60222,62308.22,218355.77,13443682101,0.01
1.63538E+12,44497,BTC/USDT,58449.36,62641.26,57550,60622.03,333323.12,20097525760,-0.03
1.63529E+12,44496,BTC/USDT,60358.74,61550,57865,58449.36,329112.4,19537339455,-0.04
1.63521E+12,44495,BTC/USDT,63129.25,63362.06,59838.05,60358.75,252256.92,15638312967,0.03
1.63512E+12,44494,BTC/USDT,60902.82,63795.98,60701,63127.04,234201.1,14692569107,0.05
1.63503E+12,44493,BTC/USDT,61325.09,61550,59504.46,60902.82,245816.82,14885043274,-0.04
1.63495E+12,44492,BTC/USDT,60734.28,61780,59622,61325.11,222553.48,13592218440,0.01
1.63486E+12,44491,BTC/USDT,62260.33,63796.2,60011.9,60734.27,350359.53,21694368337,-0.01
1.63477E+12,44490,BTC/USDT,66064.25,66750,62000,62260.33,478610.46,30800550148,0.03
1.63469E+12,44489,BTC/USDT,64314.75,67150,63518.81,66064.24,324737.87,21256679161,0.06
1.6346E+12,44488,BTC/USDT,62037.92,64500,61300,64316.7,379243.72,23836964138,-0.03
1.63452E+12,44487,BTC/USDT,61571.45,62800,59897.61,62037.92,333278.48,20556521575,-0.04
1.63443E+12,44486,BTC/USDT,60925.56,61796.47,58850,61571.45,240132.51,14569391373,-0.01
1.63434E+12,44485,BTC/USDT,61702.33,62444.23,60220,60925.56,213251.9,13067491173,-0.01
1.63426E+12,44484,BTC/USDT,57377.12,63997.61,56900,61702.33,493366.51,29726367097,0.01
1.63417E+12,44483,BTC/USDT,57393.65,58586.67,56800,57378.19,254719.75,14692446487,-0.07
1.63408E+12,44482,BTC/USDT,56011.83,57822.38,54271.24,57393.65,327714.32,18304667792,0
1.634E+12,44481,BTC/USDT,57500.01,57756.52,53750,56011.84,349147.78,19709191748,-0.02
1.63391E+12,44480,BTC/USDT,54700,57880,54458,57500.01,314868.05,17849826167,0.03
1.63382E+12,44479,BTC/USDT,54960.79,56789,54101,54700,289072.82,15966267342,-0.05
1.63374E+12,44478,BTC/USDT,53974.99,55589,53656.66,54960.77,167495.39,9179243467,0
1.63365E+12,44477,BTC/USDT,53814.99,56208.73,53647.3,53975,255210.04,13956986828,-0.02
1.63356E+12,44476,BTC/USDT,55327.45,55337.8,53374.34,53814.99,262974.55,14289443599,0
1.63348E+12,44475,BTC/USDT,51460.22,56416.02,50410,55321.6,418731.75,22242398945,0.03
1.63339E+12,44474,BTC/USDT,49199.78,51888,49009.21,51455.12,314043.81,15777204364,-0.07
1.63331E+12,44473,BTC/USDT,48187.99,49544.48,46885.29,49198.22,324424.84,15638433547,-0.04
1.63322E+12,44472,BTC/USDT,47626.62,49304.12,47071.26,48187.3,212410.38,10220431022,-0.02
1.63313E+12,44471,BTC/USDT,48123.93,48338.68,47410,47626.61,182565.99,8730132628,-0.01
1.63305E+12,44470,BTC/USDT,43799.49,48450,43260.01,48123.94,449491.77,20816747005,0.01
1.63296E+12,44469,BTC/USDT,41499.7,44100,41387.78,43796.57,389185.65,16818655330,-0.09
1.63287E+12,44468,BTC/USDT,41002.96,42576.8,40708.73,41499.71,293307.59,12246762410,-0.05
1.63279E+12,44467,BTC/USDT,42122.69,42749,40854,41006.32,359745.54,15049002596,-0.01
1.6327E+12,44466,BTC/USDT,43150.01,44350,42059.13,42122.69,285311.61,12386098075,0.03
1.63261E+12,44465,BTC/USDT,42646.84,43940,40725.01,43150,354393.92,15063801544,0.02
1.63253E+12,44464,BTC/USDT,42798.49,42950,41630.26,42651.58,277084.8,11773712809,-0.01
